id	title	duration_seconds
Buc6DSJn2nw	This is what we sold for over $2200 on EBAY, MERCARI & POSHMARK	2952.0
C217L6pj9UY	Is Crossposting our EBAY items to Mercari, Poshmark, Etsy worth it?	2327.0
C2RuRUqag50	THE DARK SIDE OF EBAY	1300.0
C3DEvZLuscw	This is what SELLS ON EBAY	636.0
C4JO9l47nfg	We found "The Good Stuff" at the Estate Sale - LUCKY!	2704.0
C4LmKTVSgBk	Sell on EBAY or KEEP?	1731.0
C9jm4mSLRaA	We FAILED to hit our EBAY listing goal at the most critical time of the year!	2299.0
CAN1YAQxwKc	Garage Sale Home Run!	1057.0
CAVAwPHfPLA	Sometimes EBAY listing is EASY	1862.0
CCGYulsjbI0	These EBAY SALES make us SMILE	1385.0
CIA19rXtIro	How much do EBAY resellers pay for their INVENTORY?	3176.0
CK1UNjnJv7g	Welded Welder Welding - BOLO for EBAY	1881.0
CL_pdTiV_lM	Bowers and Wilkins Zeppelin iPhone Speaker Dock Demo for eBay	263.0
CMRtliIOiEE	$1 Garage Sale BOLO is even better than we thought	1398.0
CPNLagyhwLY	My biggest sales day on EBAY ever	741.0
CUQImKPb1hE	Original 1989 Nintendo Gameboy - eBay gameplay demo	134.0
CVadw41mKO0	EBAY Sellers do the STRANGEST THINGS	1703.0
CaFRnW7IDMQ	Ran a 20% sale on EBAY then THIS HAPPENED	1107.0
Cbs1qL32E8Q	This EBAY Sale was our DESTINY	1947.0
CerVdJLIga4	We just had one of our best EBAY sales days ever	1855.0
CjQLlS1mp4E	EBAY auctions take PATIENCE sometimes	671.0
ClgdqkKPQMk	This is why we never ignore dinosaurs at Garage Sales	2360.0
CmK6s7IEIL4	We Make Money by Selling THIS on EBAY	963.0
CoDrDkngAXU	A Peek At Our Ebay Backstock	1100.0
CrfAg-PtmV4	They pay BIG MONEY for this on EBAY	1318.0
Cs0IQDDLjRU	This is how we AVOID EBAY RETURNS	1649.0
Cx1rabVIUmM	42 Things You Can Sell on EBAY for PROFIT	1627.0
Cz6pWkBhAok	Our MOST ASKED QUESTION about our EBAY Business	2058.0
D04B0hk1OQs	How To Pack And Ship EBAY Orders #11 - THIS'LL NEVER WORK!	5380.0
D1zBQIVluww	Etsy Took Up EBAY's Slack (AGAIN)	1790.0
D1zFi2jYprU	Two EBAY YouTube channels weren't enough	566.0
D3YM8lgNrc8	20 Things We Actually Sell on EBAY for PROFIT	1473.0
D4rAfQESU4A	If these don't sell on EBAY, our Christmas shopping is DONE!	2472.0
DFPiB-hdSdU	50 eBay Flips That Made Us Money	2874.0
DK8QuLgINMs	EBAY WATCHED MY VIDEO	783.0
DKT1hCdgt6g	Can I make auctions work on EBAY?	1014.0
DKX5Pj525YE	Welcome to our EBAY laboratory!	482.0
DLlB5Y6BasY	16 THINGS THAT SELL ON EBAY	626.0
DPOkHsetabY	This is even harder than EBAY	835.0
Dd7WlULlg9g	This keeps us focused on EBAY	1883.0
DfFLU3nWvIA	These EBAY SCAMMERS are getting creative	3088.0
DgawRPoowVc	This used to be MY EBAY SHED	3457.0
DkJfVDsr7x0	We sent offers to 200 EBAY Watchers - What happened next?	2515.0
Dn9SXG9egZs	This is my best selling item ever	650.0
Dr7DRb6ZAjs	This EBAY order is a Birthday Present - we gotta get it outta here!	1484.0
Du4Xr73mc3M	Asking for FEEDBACK ON EBAY = Asking for TROUBLE?	3480.0
DyA_owHeRPw	This is what EBAY Sales look like AFTER 4th Quarter	2917.0
DzxQ6vU3KKA	Our favorite thing to do in the EBAY SHED	1541.0
E0RHDjUgOTE	OH NO She used the "V" word on EBAY!	1294.0
E30Ts4WRwzE	We found all of this at GARAGE SALES	1874.0
E3uoECH0E1Q	They seem to like buying this on EBAY	814.0
E5whMU4G1Mc	Why don't EBAY resellers ever show BAD BUYS on YouTube?	2471.0
E7cV9JmT9Aw	I POPPED on some more EBAY inventory today	991.0
E8NWPbOxNMM	Up to our EARS in EBAY inventory!	2418.0
EFJXLvrVEuA	Five Things We are Trying to Boost our EBAY Sales	3218.0
EJazAB9wPf0	EBAY Standard Envelope is simply too unreliable for us - we give up!	1928.0
EN6tkEGNY5M	This Garage Sale was a Little Different	1640.0
ENABP9vN0B0	63 Things You Can Sell For PROFIT ON EBAY	2448.0
ESdgr2D2YWE	Filling up the shelves in our EBAY SHED	971.0
EWhtIjhMybU	I think this item calls for an EBAY AUCTION	1409.0
EXwaVlL7Vw8	Would I enjoy selling on EBAY as much if not for Youtube?	1279.0
Ec-PsgmLxNA	"We're deep in the bowels of Shed Flips" - yuck!	1670.0
EgdRj2sWY3Q	Selling these makes eBay FUN	1351.0
EhqpX4Jf6dc	HEY EBAY - It's Day 11 and my sanity is fading	1627.0
EiNJg0Cykhc	These will be PERFECT FOR EBAY	1654.0
ElJmgoQVOtw	EBAY is a perfect place to sell old media	895.0
En3xhpUgIaU	This Garage Sale Find made our day!	1694.0
Eqb8GnLUqOc	It's time for us to OPT OUT of this EBAY "Feature"	1725.0
